MM/YYYY,Headline,Vader score
03/2020,Why the US is so vulnerable to coronavirus outbreak,0.0
03/2020,Chinese group in talks to aid struggling jet maker Bombardier,0.0
03/2020,Steelmaking operation rolls out in Wales,0.0
03/2020,Buffett stands by strategy of pouring cash into stocks,0.0
03/2020,"Orasay, London: ‘already exceptional’ — restaurant review",0.0
03/2020,Capital cuppa: London’s top coffee spots,0.2023
03/2020,America tampers with the Chomsky trade at its peril,-0.4019
03/2020,"Margrethe Vestager, the woman who took the fight to Apple",-0.3818
03/2020,Become an FT subscriber,0.0
03/2020,Democratic commissioner objects to SEC settlement with Musk,0.0
03/2020,Saudi Arabia: Spending power,0.0
03/2020,Twitter and targeting,0.0
03/2020,Lessons from a middle-aged boy band for Japan’s frazzled workers,0.0
03/2020,"Wednesday, March 4",0.0
03/2020,Hurricane dims Bush's hopes on Social Security,0.4404
03/2020,Way off-piste: yacht-skiing in the Arctic,0.0
03/2020,US chipmakers knocked by Intel’s cautious outlook,0.0
03/2020,Strasbourg is test case for rise of the Greens in France,0.0
03/2020,Liberal Democrats claim to be UK’s ‘party of business’,0.0
03/2020,Sale of new-build leasehold houses banned,-0.5574
03/2020,Boris Johnson’s bullying fails to cow his opponents,-0.5423
03/2020,Shipping costs provide clues on damage wrought by coronavirus,0.0
03/2020,Overcrowding in Moria refugee camp has reached breaking point,0.3612
03/2020,Britain’s submarines to use US technology for nuclear warheads,0.0
03/2020,Conservative MPs expect Theresa May to be gone within days,0.0
03/2020,JD.com says delivery network will power it through coronavirus,0.0
03/2020,The uncomfortable truth about fake news,-0.2023
03/2020,US Treasury provides details of plans to revive 20-year bond,0.0
03/2020,The Fed’s strong signal on economic remedies for coronavirus,0.5106
03/2020,Amazon seeks testimony from Trump in cloud contract appeal,0.1779
03/2020,Investor rush to artificial intelligence is real deal,0.0
03/2020,YouTube controversy shakes up digital advertising,-0.1779
03/2020,Carlos Ghosn: The Great Escape,0.6249
03/2020,New Nissan boss signals pay cuts and deeper restructuring,-0.3612
03/2020,Thousands of Okinawans protest over US military presence,-0.25
03/2020,Investor Christopher Hohn’s annual pay falls to $274m,-0.1027
03/2020,Chevron sends 300 UK workers home on coronavirus scare,-0.4939
03/2020,Polar melting signals end of ‘Pax Arctica’,0.0
03/2020,Iran’s judiciary threatens to expel UK ambassador,-0.6705
03/2020,Business Book of the Year Award 2019 — the longlist,0.5423
03/2020,My Town: An Artist’s Life in London — the thrill of the capital,0.3612
03/2020,European powers step up pressure on Iran over nuclear deal,0.0
03/2020,Family Feud: battles within the billionaire Barclay clan,-0.34
03/2020,Samsung faces reputational blow from phones’ fingerprint flaw,0.0
03/2020,Facebook held talks with Winklevoss twins over new currency,0.0
03/2020,Turkey’s Cengiz eyes British Steel bid if Jingye deal fails,-0.5423
03/2020,"Most refugees to be jobless for years, German minister warns",-0.1027
03/2020,Lebanon asked for Carlos Ghosn’s return a week before his escape,0.0
03/2020,Free speech fears as Beijing attacks Hong Kong professor,-0.4588
03/2020,My Addresses: chef-patron Greg Marchand on the best places to eat in Paris,0.6369
03/2020,The long-shot science that attracted Brad Pitt and Neil Woodford,0.3612
03/2020,How tech can tame its dark side,0.0
03/2020,"Apple unveils iPhone 11, TV+ pricing",0.0
03/2020,A lesson in academic acumen,0.0
03/2020,"Chancellor Sajid Javid talks up the economy, and what’s next after Brexit Day",0.0
03/2020,China spy suspect casts chill over EU’s vulnerabilities,-0.296
03/2020,Litigation funder Burford warns of hit to profit in a ‘quiet’ 2019,0.3612
03/2020,Eurozone inflation drops on coronavirus hit to energy prices,-0.2732
03/2020,Epstein links leave Barclays boss in a precarious position,0.0
03/2020,Google draws on old radar technology for its ‘motion sensor’ Pixel 4 smartphone,0.0
03/2020,Brexit bill dents pound’s rally,0.0
03/2020,"FT Weekend Quiz: Wimbledon, Diego Rivera and Frank Sinatra",0.0
03/2020,"US will keep eye on Kazakh election, says Rice",0.0
03/2020,Where to find the value in emerging markets,0.0
03/2020,Activist investors lay down challenge to corporate France,0.0
03/2020,Alphabet faces investor backlash over human rights policies,0.0
03/2020,US election: Democrats try to blunt Trump’s digital edge,0.0
03/2020,Facebook cryptocurrency investigated by EU,0.0
03/2020,Middle East’s demographic earthquake: the generation fuelling protests,-0.25
03/2020,UK draws up ‘battle plan’ to beat coronavirus,0.0
03/2020,FT Weekend Magazine Crossword Number 477,0.0772
03/2020,Old rivalries stir in Japan and Korea,0.0
03/2020,Food and free movement in Borough Market,0.5106
03/2020,BoE sounds alarm over no-deal Brexit planning,-0.34
03/2020,"Ukraine: Rudy Giuliani, the rabbi and Trump’s impeachment",0.0
03/2020,How Britain fell back in love with the railways,0.6369
03/2020,Proposed rules for Trump impeachment trial outrage Democrats,0.0
03/2020,The rich world must take greater responsibility for climate change,0.7269
03/2020,The Treasury has two dirty secrets on its fiscal rules,0.34
03/2020,Tougher cost controls help China’s Baidu top forecasts,0.6369
03/2020,William Hill: the also-ran,0.0
03/2020,"‘Thanks, goodbye and good riddance’ — EU’s parting words to UK",0.6597
03/2020,Donald Trump faithful stand by their man during his trial,0.4215
03/2020,"Letter: Less celebration, a lot more action on SDGs",0.0
03/2020,The Art Market: Sylvester Stallone’s painting show,0.0
03/2020,Coronavirus fears spark investor rush for government bonds,-0.3182
03/2020,The challenges facing UK-US trade talks,0.0
03/2020,Qualcomm in record S Korea antitrust fine,0.2023
03/2020,The gospel according to Charlie Munger: lower your expectations,-0.296
03/2020,Uncharted: How to Map the Future Together — a plea for fresh thinking,0.3182
03/2020,Air France-KLM boss covers first leg of long-haul recovery,0.0
03/2020,Joe Biden: the comeback grandpa,0.0
03/2020,Alibaba: germs and conditions,0.0
03/2020,MGA boss warns coronavirus could lead to toy shortage,-0.1027
03/2020,Erdogan and Putin announce ceasefire in Idlib,0.0
03/2020,Peter Hargreaves urges investors to stay the course,0.0
03/2020,Albertsons explores bid for high-end grocer Whole Foods,0.0
03/2020,Cargill reaps bumper harvest from grain price,0.0
03/2020,"Take long lunches, go home at four: tips for the modern boss",0.0
03/2020,Business Book of the Year 2017 — the longlist,0.0
03/2022,US stocks  start week on subdued note ahead of earnings results,0.0
03/2022,A historic opportunity for climate progress,0.4215
03/2022,Cheniere Energy: long-term bet on US natural gas pays off,-0.1027
03/2022,Boring UK market eclipses racier rivals,-0.25
03/2022,A chance for bankers to refocus their talents,0.4215
03/2022,BNP: reliable virtues leave French bank ‘friend zoned’ by investors,0.4939
03/2022,China noses ahead as top goods producer,0.5719
03/2022,Tobacco group Imperial Brands hit by 6% fall in cigarette sales,0.0
03/2022,West has to take the long-term view,0.34
03/2022,EU sets collision course with China over ‘Silk Road’ rail project,0.0
03/2022,Terra Firma to buy Four Seasons for £825m,0.0
03/2022,Pakistan formally seeks ‘financial assistance’ from IMF,0.0
03/2022,Environmental derivatives firm IncubEx raises $12m in funding round,0.0
03/2022,Fed chair Yellen signals March rate rise may be ‘appropriate’,0.0
03/2022,Starbucks and Fiat told to pay up to €30m in tax after EU ruling,-0.1027
03/2022,Surprise! (earnings on the upside),0.0
03/2022,Net wisdom,0.5267
03/2022,London home registrations soar,0.0
03/2022,Daily Mirror publisher warns inflation will hit profits,0.3612
03/2022,JPMorgan has not ‘exited physical commodities’ despite sale,0.34
03/2022,Moving money: The true costs of expat workers sending cash home remain hidden,0.4215
03/2022,Eyes on the prize in EU-US trade,0.5106
03/2022,Side by Side – DVD review,0.0
03/2022,US threatens to cut intelligence sharing with Berlin over Huawei,-0.3612
03/2022,Berlin’s start-up scene receives a boost,0.4019
03/2022,PwC suggests MF Global was a risk culture run amok,-0.2732
03/2022,Caveat investor,0.0
03/2022,An ethics lesson from an unlikely quarter,0.0
03/2022,Climate meeting of ministers discusses national plans to cut methane emissions,-0.2732
03/2022,US and EU close to agreeing new sanctions to check Russia,0.0
03/2022,Britain should not go back to the future,0.0
03/2022,The OFT must try to keep Brussels at bay,0.0
03/2022,When bank balance sheets become scarce commodities,0.0
03/2022,PPE cottage industry comes to health workers’ rescue,0.0
03/2022,BCG’s Christoph Schweizer calls for ‘climate activists’ to join consultancy,0.296
03/2022,Storm Desmond sinks Walker Greenbank profits,0.4404
03/2022,Innovative Finance Isas dogged by further delays,-0.3182
03/2022,FirstFT: Fauci: The full-blown phase of the pandemic is nearly over,0.0
03/2022,A grand bargain that cannot end the crisis,0.5859
03/2022,Netflix or Amazon? Fashion TV goes head to head,0.1779
03/2022,DNA: the next frontier in forensics,0.0
03/2022,Strings attached: why women’s sexual liberation came at a price,0.0
03/2022,Competition takes toll on China Mobile,0.0
03/2022,UK contractors export PFI expertise,0.0
03/2022,Syria regime forces claim recapture of key airbase,0.0
03/2022,UK government unveils $128bn cuts,-0.2732
03/2022,RAB threatens to close fund,-0.3818
03/2022,Cult Shop: for Tokyo’s stationery dreamers,0.0
03/2022,Rising chorus of boos greets Russia’s rulers,0.3182
03/2022,Plan for five careers in a lifetime,0.0
03/2022,Why rewards for failure are toxic and how to end them,0.5719
03/2022,Labour party threatens to nationalise PFI contracts,-0.3818
03/2022,Data protection watchdog in plea for staff and pay,0.296
03/2022,MBA students to be offered hologram lectures,0.0
03/2022,Raids on SK open old wounds for S Korea,0.0
03/2022,US artisan food start-ups bring home the bacon,0.0
03/2022,International students are vital to the UK’s prosperity,0.296
03/2022,The European debt bubble will end badly,-0.3612
03/2022,US companies count costs and benefits of Trump tax law,0.4588
03/2022,Thailand outlaws reports that cause ‘fear’ as Covid-19 cases surge,-0.4939
03/2022,Sotheby’s to auction more than $600m of art from Macklowe divorce,0.0
03/2022,"Top UK bank executive dubbed regulatory official 'little lady', FCA says",0.2023
03/2022,Jordan seeks to reinvigorate its IT,0.0
03/2022,Barclays set to exit African business,0.0
03/2022,Supper with the FT: Victor Pinchuk,0.0
03/2022,"Welcome to Berlin, Europe’s new capital",0.0
03/2022,Nestlé milk factory shake-up aims to end drain on water resources,-0.1531
03/2022,Home Office under fire for using secretive visa algorithm,-0.34
03/2022,Russia’s war on Ukraine threatens a global food security crisis,-0.7579
03/2022,Eastern Europe central banks step in as currencies slide,0.0
03/2022,UK companies cut money set aside for legal claims,-0.1531
03/2022,Turks flock to cryptocurrencies in search of stability,0.0
03/2022,"Cities, not countries, are the key to tomorrow’s economies",0.0
03/2022,Lunch with the FT: Paul Krugman,0.0
03/2022,"Energy: More buck, less bang",0.0
03/2022,Why Tokyo is the land of rising home construction but not prices,0.0
03/2022,How to bring the Ukraine crisis to a peaceful end,0.0
03/2022,RBS apologises for Cyber Monday technology breakdown,0.0
03/2022,Letter: Beijing’s ambivalence on the crisis speaks volumes,0.0
03/2022,UK consumer spending growth slows as rising living costs bite,0.3818
03/2022,Biden pushes to expand Democratic electoral map in final days of race,0.3182
03/2022,AllianzGI and Cevian raise pressure over linking pay to climate goals,-0.1027
03/2022,Russian tech group Yandex launches own smartphone,0.0
03/2022,Architects of ‘Texas two-step’ lambast J&J for its use of the manoeuvre,0.25
03/2022,Slowdown reduces thirst for Scotch,0.0
03/2022,Winter Olympics targeted in hacking campaign,0.0
03/2022,Christopher Hogg: investors must take governance seriously,-0.0772
03/2022,Spotify apologises for Joe Rogan but refuses to ‘silence’ him,0.0
03/2022,Why European bank shares are experiencing a false dawn,0.296
03/2022,De Villepin stands by calls for ‘economic patriotism’,0.0
03/2022,Covid self-isolation rules to continue for NHS England staff,0.4939
03/2022,New York Times buys internet game phenomenon Wordle,0.0
03/2022,Baxalta chief denounces Shire’s ‘lowball’ offer,0.0
03/2022,China hits out at G7 leaders over Taiwan statement,0.0
03/2022,SEC abandons key plank of proposal to curb proxy advisers,-0.4404
03/2022,Belarus kidnapping sets a dangerous global precedent,-0.5267
03/2022,Goldman Sachs seeks 100% control of China securities venture,0.0
03/2022,Watchdog sounds alarm on financial risks of Europe’s property boom,-0.5423
03/2022,GSK to pay $3bn to settle US charges,-0.1027
03/2022,Data sharing holds key to progress on rare diseases in Europe,0.6124
